# Pack: @|atlasId|family|file|generatorOutputId|generatedAtUTC|promptId
# Sprite: key|labelEN|labelVI|aliasesEN(;)|aliasesVI(;)|visualDescriptionEN|topicTags(;)|renderRole|confusableWith(;)|intendedUse
@|topic-science-technology-v1|science-technology|science-technology-atlas-v1.png|exec-727c14a9-e460-4efc-becd-04f16a3e5bf6.png|2026-09-17T07:55:31Z|science-technology-flat2d-transparent-atlas-v1
microscope|Microscope|Kính hiển vi|microscope;lab microscope|kính hiển vi|Upright optical instrument with eyepiece, arm, stage, focus knobs and base.|science;laboratory;biology;instrument|PROP|telescope;binoculars|topic supplement; preserve original child art
lab-flask|Bubbling lab flask|Bình thí nghiệm sủi bọt|flask;laboratory flask;science experiment|bình thí nghiệm;bình hóa học|Laboratory flask with colored liquid and several round bubbles; not a medicine bottle.|science;laboratory;chemistry;experiment|PROP|medicine bottle;drinking bottle|topic supplement; preserve original child art
friendly-robot|Friendly robot|Robot thân thiện|robot;toy robot|robot;người máy|Small friendly mechanical robot with simple head, body, arms and legs; not a human.|science;technology;machine;robot|SUBJECT|person;toy doll|topic supplement; preserve original child art
tablet-computer|Tablet computer|Máy tính bảng|tablet;tablet computer;touchscreen device|máy tính bảng;thiết bị cảm ứng|Handheld tablet with a blank screen and simple frame; no interface text.|technology;computer;device;digital|PROP|smartphone;laptop|topic supplement; preserve original child art
telescope|Telescope|Kính thiên văn|telescope;astronomy telescope|kính thiên văn;ống nhòm thiên văn|Long viewing telescope on a small tripod; distinct from microscope and binoculars.|science;astronomy;sky;instrument|PROP|microscope;binoculars|topic supplement; preserve original child art
circuit-board|Circuit board|Bảng mạch điện tử|circuit board;electronics board;microchip|bảng mạch;bo mạch;vi mạch|Flat green electronic board with one central chip and simple connected traces; not a map.|technology;electronics;engineering;computer|PROP|map;control panel|topic supplement; preserve original child art
@|topic-dinosaurs-prehistory-v1|dinosaurs-prehistory|dinosaurs-prehistory-atlas-v1.png|exec-b7d10c23-e4cd-4a0f-82d5-4f3600fef3b5.png|2026-09-17T07:56:47Z|dinosaurs-prehistory-flat2d-transparent-atlas-v1
tyrannosaurus|Tyrannosaurus rex|Khủng long bạo chúa|t-rex;tyrannosaurus;dinosaur|khủng long bạo chúa;khủng long t-rex;khủng long|Orange bipedal dinosaur with a large head short arms and visible teeth.|dinosaur;prehistoric;reptile|SUBJECT|crocodile;dragon|topic supplement; preserve original child art
triceratops|Triceratops|Khủng long ba sừng|triceratops;three-horned dinosaur;dinosaur|triceratops;khủng long ba sừng;khủng long|Green quadruped dinosaur with three facial horns and a broad frill.|dinosaur;prehistoric;three horns;herbivore|SUBJECT|rhinoceros|topic supplement; preserve original child art
stegosaurus|Stegosaurus|Khủng long gai lưng|stegosaurus;plated dinosaur;dinosaur|stegosaurus;khủng long gai lưng;khủng long|Green quadruped dinosaur with orange back plates and a spiked tail.|dinosaur;prehistoric;back plates;herbivore|SUBJECT|dragon;spiny lizard|topic supplement; preserve original child art
long-neck-dinosaur|Long-neck dinosaur|Khủng long cổ dài|long-neck dinosaur;sauropod;brontosaurus;dinosaur|khủng long cổ dài;sauropod;khủng long|Large quadruped dinosaur with a very long upright neck and small head.|dinosaur;prehistoric;sauropod;long neck|SUBJECT|giraffe;sea monster|topic supplement; preserve original child art
pteranodon|Pteranodon|Khủng long bay pteranodon|pteranodon;flying reptile;winged dinosaur|pteranodon;thằn lằn bay;khủng long bay|Flying prehistoric reptile with broad wings and a long pointed crest and beak.|dinosaur;prehistoric;flying reptile;wings|SUBJECT|bird;dragon|topic supplement; preserve original child art
