activity_id,version,age_band,area,title_vi,objective_ids,review_status,production_eligible
ACT-0001,1,0-3,movement,Theo dõi vật chuyển động chậm,OBJ_MOVEMENT_COORDINATION,PENDING_OWNER_REVIEW,false
ACT-0002,1,0-3,movement,Cầm và chuyển vòng lớn,OBJ_MOVEMENT_COORDINATION,PENDING_OWNER_REVIEW,false
ACT-0003,1,0-3,movement,Đá bóng mềm có dây neo,OBJ_MOVEMENT_COORDINATION,PENDING_OWNER_REVIEW,false
ACT-0004,1,0-3,sensorial,Tìm đồ vật dưới khăn,OBJ_OBJECT_PERMANENCE,PENDING_OWNER_REVIEW,false
ACT-0005,1,0-3,sensorial,Hộp thả bóng có khay,OBJ_OBJECT_PERMANENCE,PENDING_OWNER_REVIEW,false
ACT-0006,1,0-3,sensorial,Khám phá giỏ đồ vật an toàn,OBJ_OBJECT_PERMANENCE,PENDING_OWNER_REVIEW,false
ACT-0007,1,0-3,sensorial,Ghép cặp chất liệu,OBJ_OBJECT_PERMANENCE,PENDING_OWNER_REVIEW,false
ACT-0008,1,0-3,sensorial,Ghép cặp hộp âm thanh kín,OBJ_RECEPTIVE_LANGUAGE,PENDING_OWNER_REVIEW,false
ACT-0009,1,0-3,language,Gọi tên người trong ảnh gia đình,OBJ_RECEPTIVE_LANGUAGE,PENDING_OWNER_REVIEW,false
ACT-0010,1,0-3,language,Gọi tên bộ phận cơ thể,OBJ_RECEPTIVE_LANGUAGE,PENDING_OWNER_REVIEW,false
ACT-0011,1,0-3,language,Gọi tên mô hình động vật lớn,OBJ_RECEPTIVE_LANGUAGE,PENDING_OWNER_REVIEW,false
ACT-0012,1,0-3,language,Ghép đồ vật với hình ảnh,OBJ_RECEPTIVE_LANGUAGE,PENDING_OWNER_REVIEW,false
ACT-0013,1,0-3,movement,Thả đĩa lớn qua khe,OBJ_MOVEMENT_COORDINATION,PENDING_OWNER_REVIEW,false
ACT-0014,1,0-3,sensorial,Xếp cốc lồng nhau,OBJ_MOVEMENT_COORDINATION,PENDING_OWNER_REVIEW,false
ACT-0015,1,0-3,movement,Xếp vòng lớn,OBJ_MOVEMENT_COORDINATION,PENDING_OWNER_REVIEW,false
ACT-0016,1,0-3,practical_life,Chuyển đồ vật lớn giữa hai bát,OBJ_INDEPENDENCE_SELF_CARE,PENDING_OWNER_REVIEW,false
ACT-0017,1,0-3,practical_life,Dùng thìa chuyển vật lớn,OBJ_INDEPENDENCE_SELF_CARE,PENDING_OWNER_REVIEW,false
ACT-0018,1,0-3,practical_life,Rót lượng nước nhỏ,OBJ_INDEPENDENCE_SELF_CARE,PENDING_OWNER_REVIEW,false
ACT-0019,1,0-3,practical_life,Chuỗi rửa tay,OBJ_INDEPENDENCE_SELF_CARE,PENDING_OWNER_REVIEW,false
ACT-0020,1,0-3,practical_life,Lau vết nước nhỏ,OBJ_INDEPENDENCE_SELF_CARE,PENDING_OWNER_REVIEW,false
ACT-0021,1,0-3,practical_life,Tập mang tất,OBJ_INDEPENDENCE_SELF_CARE,PENDING_OWNER_REVIEW,false
ACT-0022,1,0-3,practical_life,Cắt chuối bằng dụng cụ an toàn,OBJ_INDEPENDENCE_SELF_CARE,PENDING_OWNER_REVIEW,false
ACT-0023,1,0-3,practical_life,Tưới cây nhỏ,OBJ_ORDER_GRACE_COURTESY,PENDING_OWNER_REVIEW,false
ACT-0024,1,0-3,practical_life,Mang khay thấp bằng hai tay,OBJ_ORDER_GRACE_COURTESY,PENDING_OWNER_REVIEW,false
ACT-0025,1,0-3,practical_life,Chào hỏi và chờ lượt,OBJ_ORDER_GRACE_COURTESY,PENDING_OWNER_REVIEW,false
ACT-0026,1,3-6,practical_life,Rót hạt khô,OBJ_PRACTICAL_LIFE_SEQUENCE,PENDING_OWNER_REVIEW,false
ACT-0027,1,3-6,practical_life,Rót nước có vạch giới hạn,OBJ_PRACTICAL_LIFE_SEQUENCE,PENDING_OWNER_REVIEW,false
ACT-0028,1,3-6,practical_life,Chuyển hạt bằng thìa,OBJ_PRACTICAL_LIFE_SEQUENCE,PENDING_OWNER_REVIEW,false
