activity_id,version,age_band,age_min_months,age_max_months,title_vi,primary_objective,secondary_objectives,readiness_ids,primary_material_vi,substitute_material_vi,supervision,fixture_cases,review_status,production_eligible,owner_decision,owner_notes
ACT-0004,2,0-3,8,24,Tìm đồ vật dưới khăn,OBJ_OBJECT_PERMANENCE,OBJ_RECEPTIVE_LANGUAGE,READY_SEARCH_PARTLY_HIDDEN,khăn voan nhẹ 40 x 40 cm và bóng vải liền khối đường kính tối thiểu 8 cm,khăn cotton mỏng và thú nhồi bông nguyên khối dài tối thiểu 12 cm,DIRECT,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0016,2,0-3,16,35,Chuyển đồ vật lớn giữa hai bát,OBJ_INDEPENDENCE_SELF_CARE,OBJ_MOVEMENT_COORDINATION,READY_STABLE_SEATED_TRANSFER,hai bát silicone đường kính 12-15 cm và sáu bóng vải đường kính tối thiểu 5 cm,hai hộp nhựa thấp và sáu đôi tất trẻ em cuộn chặt thành cuộn lớn,DIRECT,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0019,2,0-3,24,35,Chuỗi rửa tay,OBJ_INDEPENDENCE_SELF_CARE,OBJ_PRACTICAL_LIFE_SEQUENCE,READY_FOLLOWS_WASH_SEQUENCE,"chậu rửa thấp, xà phòng dịu dạng bánh và khăn cotton nhỏ","bồn rửa có bục chống trượt, một liều xà phòng lỏng do người lớn cấp và khăn riêng",DIRECT,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0020,2,0-3,18,35,Lau vết nước nhỏ,OBJ_INDEPENDENCE_SELF_CARE,OBJ_ORDER_GRACE_COURTESY,READY_NOTICES_SMALL_SPILL,"khay nhựa thấp, 30 ml nước sạch, hai khăn cotton 15 x 15 cm và giỏ khăn ướt","tấm lót chống thấm, cốc đo nhỏ và hai miếng vải cotton sạch màu khác nhau",DIRECT,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0023,2,0-3,24,35,Tưới cây nhỏ,OBJ_ORDER_GRACE_COURTESY,OBJ_INDEPENDENCE_SELF_CARE,READY_CARRIES_SMALL_CONTAINER,"cây gia dụng được xác nhận không độc, ca 60 ml, khay chống thấm và khăn nhỏ","chậu rau thơm ăn được, cốc nhựa có miệng rót, đĩa lót và khăn cotton",DIRECT,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0026,2,3-6,42,71,Rót hạt khô,OBJ_PRACTICAL_LIFE_SEQUENCE,OBJ_INDEPENDENCE_SELF_CARE,READY_CONTROLLED_TWO_HAND_POUR,"hai bình inox nhẹ có quai, khay viền cao và 20 viên gỗ đường kính 25 mm","hai cốc nhựa có quai, khay nhựa và 20 nắp chai nhựa nguyên vẹn đường kính trên 30 mm",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0030,2,3-6,42,71,Khung cài nút,OBJ_INDEPENDENCE_SELF_CARE,OBJ_MOVEMENT_COORDINATION,READY_PINCH_AND_ALIGN_BUTTON,khung cài sáu nút nhựa đường kính 25-30 mm được may chắc,áo khoác trẻ em sạch có 4-6 nút lớn và được trải phẳng trên bàn,NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0033,2,3-6,48,71,Sắp bàn cho một người,OBJ_ORDER_GRACE_COURTESY,OBJ_PRACTICAL_LIFE_SEQUENCE,READY_CARRIES_PLACE_SETTING,"tấm lót có đường viền, đĩa melamine, cốc inox, thìa đầu tròn và khăn vải","tờ bìa ép plastic tự vẽ sơ đồ, đĩa/cốc nhựa thực phẩm, thìa silicone và khăn cotton",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0039,2,3-6,48,71,Phân cấp bảng màu,OBJ_SENSORIAL_DISCRIMINATION,OBJ_ORDER_GRACE_COURTESY,READY_MATCHES_IDENTICAL_COLOR,"bảy bảng màu cùng một họ, bề mặt mờ, kích thước 5 x 8 cm và thảm xám","bảy thẻ bìa tự in từ một dải màu chuẩn, ép plastic mờ và đánh mã kín ở mặt sau",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0046,2,3-6,48,71,Khung kim loại luyện nét,OBJ_EARLY_WRITING,OBJ_SENSORIAL_DISCRIMINATION,READY_TRIPOD_OR_FUNCTIONAL_GRIP,"một cặp khung kim loại Montessori nguyên vẹn, giấy 14 x 14 cm và hai bút chì màu đầu tù","khuôn hình nhựa cứng không cạnh sắc, giấy vuông và hai bút sáp tam giác",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0055,2,6-9,72,95,Quan sát các bộ phận của cây,OBJ_SCIENTIFIC_OBSERVATION,OBJ_COSMIC_INTERCONNECTION,READY_HANDLES_PLANT_SAMPLE,"một cây rau thơm ăn được còn nguyên rễ, kính lúp nhựa và bộ thẻ rễ-thân-lá-hoa","mẫu hành lá có rễ trong cốc nước sạch, kính lúp cầm tay và nhãn viết trên bìa",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0058,2,6-9,78,107,Mô hình vòng tuần hoàn nước,OBJ_SCIENTIFIC_OBSERVATION,OBJ_COSMIC_INTERCONNECTION,READY_RECORDS_CHANGES_OVER_TIME,"hộp nhựa trong chịu ấm có nắp trong, 100 ml nước dưới 45°C, túi đá kín và nhiệt kế","bát inox trong khay, đĩa kim loại làm nắp, túi zip hai lớp chứa đá và nhiệt kế bếp",DIRECT,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0061,2,6-9,78,107,Nhân với trò chơi tem,OBJ_MATHEMATICAL_REASONING,OBJ_NUMBER_QUANTITY_PLACE_VALUE,READY_PLACE_VALUE_TO_THOUSANDS,"bộ stamp game đầy đủ có khay ngăn, thẻ phép nhân tự kiểm tra và giấy ô vuông","bộ thẻ giá trị hàng tự in kích thước tối thiểu 25 mm, bốn khay màu và thẻ đáp án kín",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0067,2,6-9,78,107,Phân tích từ loại bằng ký hiệu,OBJ_LANGUAGE_ANALYSIS,OBJ_COMMUNICATION_ARGUMENTATION,READY_IDENTIFIES_NOUN_VERB,"bộ ký hiệu ngữ pháp Montessori kích thước lớn, ba thẻ câu và bảng đáp án kín","ký hiệu cắt từ bìa màu kích thước trên 30 mm, câu tự viết rõ chữ và phong bì đáp án",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0074,2,6-9,84,107,Lập kế hoạch công việc tuần,OBJ_SOCIAL_RESPONSIBILITY,OBJ_PROJECT_SERVICE_LEADERSHIP,READY_ESTIMATES_SHORT_TASK,"bảng tuần tái sử dụng, tối đa năm thẻ nhiệm vụ và đồng hồ hẹn giờ cơ học","tờ lịch giấy không ghi tên đầy đủ, giấy ghi chú màu và đồng hồ bếp ngoại tuyến",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0085,2,9-12,114,155,Khảo sát và mô tả dữ liệu,OBJ_ADVANCED_MATHEMATICS,OBJ_COMMUNICATION_ARGUMENTATION,READY_TABLE_AND_BAR_GRAPH,"bộ 20 phiếu fixture ẩn danh, mẫu bảng tần số, giấy biểu đồ và máy tính cơ bản ngoại tuyến","20 thẻ dữ liệu tổng hợp do người lớn chuẩn bị, giấy ô vuông và bảng phép tính viết tay",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0087,2,9-12,114,155,Xây khóa phân loại,OBJ_SCIENTIFIC_INQUIRY,OBJ_HUMANITIES_RESEARCH,READY_COMPARE_OBSERVABLE_TRAITS,12 thẻ ảnh lá/côn trùng synthetic có mã đáp án và mẫu khóa lưỡng phân,8-12 đồ vật gia dụng an toàn khác nhau rõ ràng và giấy vẽ sơ đồ nhánh,NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0091,2,9-12,108,143,Mô hình pha Mặt Trăng,OBJ_COSMIC_INTERCONNECTION,OBJ_SCIENTIFIC_INQUIRY,READY_MODELS_LIGHT_AND_SHADOW,"đèn LED ánh sáng khuếch tán, quả cầu xốp 8-10 cm trên que tù, tám mốc sàn và phiếu pha","đèn pin LED cố định trong hộp, bóng bàn gắn trên bút đầu tù, băng giấy đánh tám vị trí và giấy ghi",DIRECT,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0097,2,9-12,114,155,Viết lập luận dựa trên bằng chứng,OBJ_COMMUNICATION_ARGUMENTATION,OBJ_HUMANITIES_RESEARCH,READY_DISTINGUISHES_CLAIM_EVIDENCE,"gói bốn nguồn in đã kiểm duyệt, mẫu claim-evidence-reasoning và thẻ mã nguồn","ba bài đọc thư viện công cộng được người lớn in, giấy ba cột và danh mục nguồn mẫu",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
ACT-0099,2,9-12,120,155,Dự án nghiên cứu độc lập,OBJ_PROJECT_SERVICE_LEADERSHIP,OBJ_COMMUNICATION_ARGUMENTATION|OBJ_HUMANITIES_RESEARCH,READY_MANAGES_RESEARCH_MILESTONE,"planner ba mốc, source log, gói nguồn thư viện đã duyệt và vật liệu trình bày ngoại tuyến","bìa hồ sơ giấy, bảng tiến độ tự vẽ, sách/tài liệu in do người lớn chọn và giấy/bút trình bày",NEARBY,3,PROVISIONAL_OWNER_REVIEWED,false,ACCEPT,Accepted provisionally by project owner; qualified Montessori review remains required.
